kab,penerimaan,pengeluaran,jumlah_art
Bengkulu Tengah,51180000,25352285.71,3
Bengkulu Tengah,6310000,27823342.86,3
Kota Bengkulu,4500000,36881428.57,3
Bengkulu Tengah,22640000,24470000,3
Kota Bengkulu,26764285,22901285.71,1
Bengkulu Tengah,92400000,93972000,1
Bengkulu Tengah,10538371,29373142.86,7
Bengkulu Tengah,14899824,16077285.71,4
Kaur,26100000,33354285.71,3
Bengkulu Tengah,28510000,28444585.71,3
Bengkulu Tengah,22730634,31040000,2
Bengkulu Tengah,27027619,15714000,3
Bengkulu Tengah,11800081,13564285.71,2
Bengkulu Tengah,13521000,20828142.86,1
Bengkulu Tengah,12212000,12232000,1
Bengkulu Tengah,40551796,44350285.71,6
Bengkulu Tengah,14400000,16987285.71,2
Bengkulu Tengah,23020000,25073428.57,2
Bengkulu Tengah,155340000,90778714.29,3
Bengkulu Tengah,23000000,27430000,3
Bengkulu Tengah,23698668,22845714.29,3
Bengkulu Tengah,4574930,39407142.86,6
Bengkulu Tengah,15889285,23619885.71,5
Kaur,59375000,42353142.86,3
Bengkulu Tengah,40050000,41660428.57,4
Bengkulu Tengah,11280000,10105714.29,1
Bengkulu Tengah,24233218,31878428.57,4
Bengkulu Tengah,24400000,27984971.43,4
Bengkulu Tengah,30830000,58990000,6
Bengkulu Tengah,79200000,63026285.71,2
Bengkulu Tengah,22500000,43919428.57,2
Bengkulu Tengah,54885714,54693142.86,5
Bengkulu Tengah,122600000,122051142.9,3
Bengkulu Tengah,14440000,9211285.714,1
Kota Bengkulu,64800000,55553142.86,3
Bengkulu Tengah,40200000,21127428.57,3
Bengkulu Tengah,60919000,96370285.71,4
Bengkulu Tengah,17172857,17147108.86,4
Bengkulu Tengah,10140000,32906428.57,4
Bengkulu Tengah,11557718,11918857.14,1
Bengkulu Tengah,35184000,34256000,6
Kaur,21131000,26555285.71,3
Bengkulu Tengah,39868000,44311714.29,3
Bengkulu Tengah,25406666,28550714.29,4
Bengkulu Tengah,15890000,35357142.86,5
Kaur,17281838,36263857.14,5
Bengkulu Tengah,21600000,32679285.71,3
Kaur,27892000,46693142.86,7
Kaur,35125000,34207785.71,5
Bengkulu Tengah,141400000,93144142.86,6
Kota Bengkulu,43400000,114105714.3,5
Kaur,903400000,23074285.71,5
Bengkulu Tengah,17780000,25243428.57,2
Bengkulu Tengah,42797142,21851428.57,1
Bengkulu Tengah,22900000,28474857.14,7
Bengkulu Tengah,15600000,21675714.29,4
Bengkulu Tengah,13002000,15711714.29,1
Bengkulu Tengah,39331182,59251428.57,5
Kota Bengkulu,18100000,27274000,2
Bengkulu Tengah,28152536,36072000,8
Kaur,19100000,18231571.43,2
Bengkulu Tengah,14629534,14872428.57,1
Bengkulu Tengah,43236000,31289285.71,4
Bengkulu Tengah,25632000,25446571.43,4
Bengkulu Tengah,27463779,21759857.14,3
Bengkulu Tengah,25588000,26389714.29,4
Bengkulu Tengah,7500000,19584285.71,4
Kaur,29055000,28733142.86,4
