pend_krt,jumlah_art,penerimaan,pengeluaran
1,1,51180000,25352285.71
1,1,6310000,27823342.86
1,1,4500000,36881428.57
1,1,22640000,24470000
1,1,26764285,22901285.71
1,1,92400000,93972000
1,1,14899824,16077285.71
1,1,26100000,33354285.71
1,1,28510000,28444585.71
1,1,22730634,31040000
1,1,27027619,15714000
1,1,11800081,13564285.71
1,1,13521000,20828142.86
1,1,12212000,12232000
1,1,14400000,16987285.71
1,1,23020000,25073428.57
1,1,155340000,90778714.29
1,1,23000000,27430000
1,1,23698668,22845714.29
1,1,59375000,42353142.86
1,1,40050000,41660428.57
1,1,11280000,10105714.29
1,1,24233218,31878428.57
1,1,24400000,27984971.43
1,1,79200000,63026285.71
1,1,22500000,43919428.57
1,1,122600000,122051142.9
1,1,14440000,9211285.714
1,1,64800000,55553142.86
1,1,40200000,21127428.57
1,1,60919000,96370285.71
1,1,17172857,17147108.86
1,1,10140000,32906428.57
1,1,11557718,11918857.14
1,1,21131000,26555285.71
1,1,39868000,44311714.29
1,1,25406666,28550714.29
1,1,21600000,32679285.71
1,1,17780000,25243428.57
1,1,42797142,21851428.57
1,1,15600000,21675714.29
1,1,13002000,15711714.29
1,1,18100000,27274000
1,1,19100000,18231571.43
1,1,14629534,14872428.57
1,1,43236000,31289285.71
1,1,25632000,25446571.43
1,1,27463779,21759857.14
1,1,25588000,26389714.29
1,1,7500000,19584285.71
1,1,29055000,28733142.86
1,1,11270000,23192000
1,1,13900000,13944285.71
1,1,19880000,28639142.86
1,1,8680000,21003285.71
1,1,13341511,14991285.71
1,1,11720000,22330000
1,1,51868000,46093657.14
1,1,88210600,41673428.57
1,1,23420000,18706000
1,1,-3850000,26916857.14
1,1,223740000,102737285.7
1,1,4878000,6944428.571
1,1,25100000,24090142.86
1,1,23226000,28889142.86
1,1,45800000,18348571.43
1,1,17470000,15834714.29
1,1,22650714,15926142.86
1,1,24299523,32860714.29
1,1,19200000,23507071.43
1,1,55350000,54360571.43
1,1,29073568,50271428.57
1,1,1643000,3849142.857
1,1,41840000,41795857.14
1,1,33169068,72746000
1,1,20060000,51738142.86
1,1,51454000,29161714.29
1,1,10360000,10224857.14
1,1,7407645,9905428.571
1,1,45600000,28023571.43
1,1,7506000,12452000
1,1,29880000,30910857.14
1,1,65514285,33880000
1,1,6592000,6964285.714
1,1,6613814,24960000
1,1,37122967,35226250
1,1,12528000,12880428.57
1,1,15402857,16046714.29
1,1,18500000,29264142.86
1,1,37055429,21780000
1,1,42182000,45355428.57
1,1,49785714,51253142.86
1,1,13933652,43962571.43
1,1,26100000,22179857.14
1,1,15584000,15542000
1,1,17450000,15759142.86
1,1,4800000,37055714.29
1,1,18171428,17580000
1,1,138400000,108811000
1,1,57840000,29866142.86
1,1,74913000,34615857.14
1,1,38100000,31425571.43
1,1,28224000,18807714.29
